2025-01-18 20:34:38.284 [main] DEBUG com.itheima.LogTest-2025-01-18T20:34:38.283863 : 开始计算...
2025-01-18 20:34:38.286 [main] INFO  com.itheima.LogTest-计算结果为: 101
2025-01-18 20:34:38.286 [main] DEBUG com.itheima.LogTest-2025-01-18T20:34:38.286471结束计算...
2025-01-18 22:19:37.536 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.12 with PID 25850 (/Users/daykalif/Desktop/web-project/javaweb-ai-project02/tlias-web-management/target/classes started by daykalif in /Users/daykalif/Desktop/web-project/javaweb-ai-project02/tlias-web-management)
2025-01-18 22:19:37.537 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-01-18 22:19:37.887 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-01-18 22:19:37.892 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-01-18 22:19:37.893 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-01-18 22:19:37.893 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-18 22:19:37.910 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-01-18 22:19:37.910 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 359 ms
2025-01-18 22:19:38.092 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-01-18 22:19:38.099 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-01-18 22:19:38.104 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 0.699 seconds (process running for 0.981)
2025-01-18 22:19:45.120 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-18 22:19:45.121 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-01-18 22:19:45.122 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-01-18 22:19:45.140 [http-nio-8080-exec-1] INFO  com.itheima.controller.DeptController-根据Id查询部门***>1
2025-01-18 22:19:45.149 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-01-18 22:19:45.277 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@33a4e89e
2025-01-18 22:19:45.278 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-01-18 22:19:47.356 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController-根据Id查询部门***>1
2025-01-18 22:19:49.622 [http-nio-8080-exec-3] INFO  com.itheima.controller.DeptController-根据Id查询部门***>8
2025-01-18 22:19:51.377 [http-nio-8080-exec-4] INFO  com.itheima.controller.DeptController-根据Id查询部门***>1
2025-01-18 22:19:56.627 [http-nio-8080-exec-5] INFO  com.itheima.controller.DeptController-根据Id删除部门===>1
2025-01-18 22:19:56.641 [http-nio-8080-exec-6] INFO  com.itheima.controller.DeptController-查询全部部门
2025-01-18 22:19:59.066 [http-nio-8080-exec-7] INFO  com.itheima.controller.DeptController-根据Id查询部门***>9
2025-01-18 22:20:01.030 [http-nio-8080-exec-8] INFO  com.itheima.controller.DeptController-根据Id查询部门***>9
2025-01-18 22:20:04.872 [http-nio-8080-exec-9] INFO  com.itheima.controller.DeptController-修改部门###>Dept(id=9, name=全文, createTime=2025-01-18T12:50:54, updateTime=2025-01-18T12:51:16)
2025-01-18 22:20:04.888 [http-nio-8080-exec-10] INFO  com.itheima.controller.DeptController-查询全部部门
